Frame,Start Time (s),End Time (s),STE,Volume,ZCR,Silent Ratio,F0,Voiced Ratio
1,0.000,0.020,9.7684286e-05,0.009883536,0.334090918302536,1,70.22292993630573,0
2,0.020,0.040,0.00020715223,0.014392784,0.013636363670229912,0,69.12225705329153,1
3,0.040,0.060,0.0046965494,0.06853137,0.034090910106897354,0,77.0979020979021,1
4,0.060,0.080,0.0056994744,0.07549486,0.03863636404275894,0,72.53289473684211,1
5,0.080,0.100,0.0055958373,0.07480533,0.040909089148044586,0,71.5909090909091,1
6,0.100,0.120,0.0066077043,0.08128779,0.05681818351149559,0,70.67307692307692,1
7,0.120,0.140,0.0042221104,0.064977765,0.052272725850343704,0,70.67307692307692,1
8,0.140,0.160,0.0047119725,0.06864381,0.006818181835114956,0,551.25,1
9,0.160,0.180,0.00091348944,0.030223988,0.0022727272007614374,0,551.25,1
10,0.180,0.200,0.0003257954,0.018049803,0.0,0,551.25,1
11,0.200,0.220,1.4788482e-05,0.0038455795,0.04772727191448212,1,551.25,0
12,0.220,0.240,3.9779537e-05,0.0063071023,0.03863636404275894,1,69.12225705329153,0
13,0.240,0.260,0.00091065455,0.030177053,0.0022727272007614374,0,551.25,1
14,0.260,0.280,3.2800377e-05,0.005727161,0.004545454401522875,1,69.12225705329153,0
15,0.280,0.300,9.940443e-06,0.0031528468,0.03863636404275894,1,76.82926829268293,0
16,0.300,0.320,1.0591002e-05,0.003254382,0.020454544574022293,1,81.66666666666667,0
17,0.320,0.340,7.308012e-05,0.008548691,0.1295454502105713,1,70.22292993630573,0
18,0.340,0.360,3.0713014e-05,0.0055419323,0.06363636255264282,1,69.12225705329153,0
19,0.360,0.380,0.00127729,0.035739195,0.029545454308390617,0,247.75280898876406,1
20,0.380,0.400,0.004454102,0.06673906,0.034090910106897354,0,77.0979020979021,1
21,0.400,0.420,0.003649616,0.06041205,0.04318181797862053,0,74.7457627118644,1
22,0.420,0.440,0.0034770258,0.05896631,0.03863636404275894,0,73.74581939799332,1
23,0.440,0.460,0.003961352,0.06293927,0.04318181797862053,0,73.99328859060402,1
24,0.460,0.480,0.0037857778,0.061528675,0.03863636404275894,0,75.0,1
25,0.480,0.500,0.0036169807,0.06014134,0.04318181797862053,0,76.82926829268293,1
26,0.500,0.520,0.002354242,0.04852053,0.034090910106897354,0,79.31654676258992,1
27,0.520,0.540,0.00085661316,0.029267954,0.040909089148044586,0,79.03225806451613,1
28,0.540,0.560,9.493496e-05,0.009743458,0.022727273404598236,1,237.09677419354838,0
29,0.560,0.580,4.2034462e-05,0.006483399,0.0181818176060915,1,551.25,0
30,0.580,0.600,2.265341e-05,0.00475956,0.006818181835114956,1,551.25,0
31,0.600,0.620,3.02627e-05,0.0055011543,0.006818181835114956,1,69.12225705329153,0
32,0.620,0.640,8.518681e-06,0.0029186779,0.052272725850343704,1,551.25,0
