Frame,Start Time (s),End Time (s),STE,Volume,ZCR,Silent Ratio,F0,Voiced Ratio
1,0.000,0.020,4.100083e-06,0.0020248662,0.036363635212183,1,551.25,0
2,0.020,0.040,6.6732705e-06,0.0025832674,0.0181818176060915,1,69.12225705329153,0
3,0.040,0.060,1.3707913e-05,0.0037024198,0.011363636702299118,1,551.25,0
4,0.060,0.080,4.9752475e-06,0.0022305262,0.004545454401522875,1,69.12225705329153,0
5,0.080,0.100,1.2497697e-05,0.003535208,0.011363636702299118,1,551.25,0
6,0.100,0.120,1.25472025e-05,0.003542203,0.00909090880304575,1,551.25,0
7,0.120,0.140,1.2018591e-05,0.003466784,0.004545454401522875,1,551.25,0
8,0.140,0.160,1.0040057e-05,0.0031686048,0.006818181835114956,1,551.25,0
9,0.160,0.180,0.026544377,0.16292445,0.03863636404275894,0,69.12225705329153,1
10,0.180,0.200,0.029680967,0.17228165,0.004545454401522875,0,69.33962264150944,1
11,0.200,0.220,0.02476425,0.1573666,0.03863636404275894,0,69.77848101265823,1
12,0.220,0.240,0.021715723,0.14736256,0.03863636404275894,0,69.12225705329153,1
13,0.240,0.260,0.024621721,0.1569131,0.03863636404275894,0,101.14678899082568,1
14,0.260,0.280,0.027233206,0.16502486,0.0181818176060915,0,98.87892376681614,1
15,0.280,0.300,0.020465974,0.14305934,0.020454544574022293,0,69.12225705329153,1
16,0.300,0.320,0.028617654,0.16916753,0.0181818176060915,0,70.44728434504792,1
17,0.320,0.340,0.020263266,0.1423491,0.034090910106897354,0,89.27125506072875,1
18,0.340,0.360,0.015672984,0.1251918,0.03181818127632141,0,86.81102362204724,1
19,0.360,0.380,0.01280923,0.113177866,0.027272727340459824,0,85.13513513513513,1
20,0.380,0.400,0.015583131,0.124832414,0.029545454308390617,0,86.81102362204724,1
21,0.400,0.420,0.012089324,0.10995147,0.02500000037252903,0,175.0,1
22,0.420,0.440,0.0063731507,0.07983202,0.015909090638160706,0,86.47058823529412,1
23,0.440,0.460,0.0015670235,0.039585646,0.020454544574022293,0,88.55421686746988,1
24,0.460,0.480,0.0015114082,0.038876835,0.02500000037252903,0,90.3688524590164,1
25,0.480,0.500,0.0038751513,0.062250715,0.015909090638160706,0,185.2941176470588,1
26,0.500,0.520,0.008298328,0.09109516,0.036363635212183,0,186.864406779661,1
27,0.520,0.540,0.011162267,0.10565163,0.034090910106897354,0,93.82978723404256,1
28,0.540,0.560,0.010173382,0.10086319,0.036363635212183,0,95.04310344827586,1
29,0.560,0.580,0.007225726,0.08500427,0.04318181797862053,0,94.63519313304721,1
30,0.580,0.600,0.0058668633,0.076595455,0.0181818176060915,0,195.13274336283186,1
31,0.600,0.620,0.0049815713,0.070580244,0.02500000037252903,0,70.90032154340837,1
32,0.620,0.640,0.0022398287,0.04732683,0.02500000037252903,0,74.24242424242425,1
33,0.640,0.660,0.0002926262,0.01710632,0.004545454401522875,1,69.12225705329153,0
34,0.660,0.680,0.0007768558,0.027872132,0.0022727272007614374,0,69.12225705329153,1
35,0.680,0.700,0.00071416295,0.026723828,0.0,0,551.25,1
36,0.700,0.720,0.00021447265,0.0146448845,0.0022727272007614374,1,551.25,0
37,0.720,0.740,3.6413956e-05,0.0060343975,0.013636363670229912,1,69.12225705329153,0
38,0.740,0.760,9.257196e-06,0.003042564,0.040909089148044586,1,551.25,0
39,0.760,0.780,3.572305e-05,0.0059768762,0.0,0,69.12225705329153,0
40,0.780,0.800,5.903206e-06,0.0024296513,0.011363636702299118,1,551.25,0
41,0.800,0.820,8.334264e-06,0.0028869126,0.00909090880304575,1,551.25,0
42,0.820,0.840,6.495943e-07,0.0008059741,0.029545454308390617,1,69.12225705329153,0
43,0.840,0.860,3.4789987e-06,0.0018652075,0.004545454401522875,1,73.01324503311258,0
44,0.860,0.880,7.215547e-06,0.0026861771,0.027272727340459824,1,551.25,0
45,0.880,0.900,5.398273e-06,0.0023234184,0.004545454401522875,1,84.16030534351145,0
46,0.900,0.920,7.160688e-06,0.002675946,0.006818181835114956,1,551.25,0
