Frame,Start Time (s),End Time (s),STE,Volume,ZCR,Silent Ratio,F0,Voiced Ratio
1,0.000,0.020,1.18252965e-05,0.003438793,0.034090910106897354,1,69.12225705329153,0
2,0.020,0.040,4.8747324e-06,0.0022078797,0.09772727638483047,1,69.12225705329153,0
3,0.040,0.060,1.9677516e-05,0.0044359346,0.029545454308390617,1,551.25,0
4,0.060,0.080,6.741348e-06,0.0025964107,0.03863636404275894,1,69.33962264150944,0
5,0.080,0.100,7.87874e-06,0.0028069094,0.04545454680919647,1,69.12225705329153,0
6,0.100,0.120,1.5985335e-05,0.0039981664,0.05000000074505806,1,551.25,0
7,0.120,0.140,4.063318e-05,0.006374416,0.036363635212183,1,551.25,0
8,0.140,0.160,5.1692845e-05,0.0071897735,0.011363636702299118,1,551.25,0
9,0.160,0.180,2.4403696e-05,0.0049400097,0.0,0,69.12225705329153,0
10,0.180,0.200,8.4786025e-06,0.002911804,0.06363636255264282,1,69.12225705329153,0
11,0.200,0.220,3.8607204e-06,0.0019648715,0.07045454531908035,1,69.12225705329153,0
12,0.220,0.240,1.5495461e-05,0.0039364276,0.04318181797862053,1,551.25,0
13,0.240,0.260,0.0014847281,0.038532168,0.3477272689342499,1,69.12225705329153,0
14,0.260,0.280,0.0004503527,0.021221515,0.334090918302536,1,69.12225705329153,0
15,0.280,0.300,9.8877535e-05,0.009943718,0.30454546213150024,1,69.12225705329153,0
16,0.300,0.320,0.001283737,0.035829276,0.03181818127632141,1,69.12225705329153,0
17,0.320,0.340,0.0005402822,0.023243971,0.12727272510528564,1,81.36531365313652,0
18,0.340,0.360,0.0012028514,0.034682147,0.625,1,69.77848101265823,0
19,0.360,0.380,0.0010224379,0.031975582,0.6931818127632141,1,69.12225705329153,0
20,0.380,0.400,0.0004869025,0.022065867,0.7045454382896423,1,69.33962264150944,0
21,0.400,0.420,0.00021147328,0.0145421205,0.2704545557498932,1,551.25,0
22,0.420,0.440,0.00075913593,0.027552422,0.0181818176060915,1,551.25,0
23,0.440,0.460,0.0041921833,0.06474707,0.05454545468091965,0,70.0,1
24,0.460,0.480,0.009820467,0.099098265,0.04772727191448212,0,265.66265060240966,1
25,0.480,0.500,0.006003438,0.07748186,0.07045454531908035,0,256.3953488372093,1
26,0.500,0.520,0.0045374036,0.06736025,0.06590908765792847,0,86.81102362204724,1
27,0.520,0.540,0.004546599,0.06742847,0.04772727191448212,0,262.5,1
28,0.540,0.560,0.0010834144,0.03291526,0.07045454531908035,1,76.82926829268293,0
29,0.560,0.580,4.1797233e-05,0.006465078,0.052272725850343704,1,88.91129032258064,0
30,0.580,0.600,8.6038846e-05,0.009275713,0.16590909659862518,1,69.12225705329153,0
31,0.600,0.620,0.0012362498,0.035160344,0.0886363610625267,1,329.1044776119403,0
32,0.620,0.640,0.0014744705,0.038398836,0.027272727340459824,1,73.74581939799332,0
33,0.640,0.660,0.0013880526,0.037256576,0.03181818127632141,1,72.53289473684211,0
34,0.660,0.680,0.00048096766,0.021930976,0.04772727191448212,1,70.44728434504792,0
35,0.680,0.700,0.0007570689,0.027514886,0.02500000037252903,1,69.12225705329153,0
36,0.700,0.720,0.0020872767,0.04568672,0.004545454401522875,1,70.0,0
37,0.720,0.740,0.0012955682,0.035994,0.0022727272007614374,1,69.12225705329153,0
38,0.740,0.760,0.022539767,0.15013249,0.0022727272007614374,0,69.12225705329153,1
39,0.760,0.780,0.054662563,0.23380026,0.0022727272007614374,0,551.25,1
40,0.780,0.800,0.005935174,0.07704008,0.022727273404598236,0,306.25,1
41,0.800,0.820,0.0022018822,0.04692422,0.034090910106897354,1,306.25,0
