Frame,Start Time (s),End Time (s),STE,Volume,ZCR,Silent Ratio,F0,Voiced Ratio
1,0.000,0.020,0.0010352476,0.032175265,0.08409091085195541,1,69.33962264150944,0
2,0.020,0.040,0.0009399321,0.030658312,0.14318181574344635,1,84.48275862068965,0
3,0.040,0.060,0.008699399,0.09327057,0.04772727191448212,0,268.9024390243902,1
4,0.060,0.080,0.049424272,0.2223157,0.04545454680919647,0,247.75280898876406,1
5,0.080,0.100,0.04630879,0.21519478,0.04318181797862053,0,83.20754716981132,1
6,0.100,0.120,0.046758518,0.21623717,0.05454545468091965,0,69.77848101265823,1
7,0.120,0.140,0.037105452,0.19262776,0.052272725850343704,0,81.06617647058823,1
8,0.140,0.160,0.0011608887,0.034071818,0.04318181797862053,1,72.77227722772277,0
9,0.160,0.180,0.0015431978,0.039283555,0.09090909361839294,1,69.5583596214511,0
10,0.180,0.200,0.015939798,0.12625292,0.036363635212183,0,85.7976653696498,1
11,0.200,0.220,0.01968857,0.14031596,0.04318181797862053,0,78.19148936170212,1
12,0.220,0.240,0.020577515,0.14344865,0.027272727340459824,0,234.5744680851064,1
13,0.240,0.260,0.033050854,0.18179893,0.029545454308390617,0,234.5744680851064,1
14,0.260,0.280,0.0766478,0.27685338,0.02500000037252903,0,77.91519434628975,1
15,0.280,0.300,0.15478858,0.3934318,0.022727273404598236,0,79.31654676258992,1
16,0.300,0.320,0.18795097,0.43353313,0.022727273404598236,0,79.6028880866426,1
17,0.320,0.340,0.1811101,0.4255703,0.020454544574022293,0,79.8913043478261,1
18,0.340,0.360,0.17117882,0.41373762,0.020454544574022293,0,79.8913043478261,1
19,0.360,0.380,0.08659283,0.2942666,0.029545454308390617,0,69.12225705329153,1
20,0.380,0.400,0.04772205,0.21845376,0.036363635212183,0,245.0,1
21,0.400,0.420,0.035379708,0.18809494,0.03181818127632141,0,82.58426966292134,1
22,0.420,0.440,0.031605545,0.17777948,0.036363635212183,0,128.19767441860466,1
23,0.440,0.460,0.019728549,0.14045835,0.03863636404275894,0,128.94736842105263,1
24,0.460,0.480,0.013874132,0.11778851,0.022727273404598236,0,69.12225705329153,1
25,0.480,0.500,0.0005265008,0.022945605,0.036363635212183,1,69.12225705329153,0
26,0.500,0.520,0.0002028885,0.014243893,0.08409091085195541,1,73.01324503311258,0
27,0.520,0.540,0.00012379291,0.011126226,0.09318181872367859,1,69.12225705329153,0
28,0.540,0.560,0.0030844149,0.055537507,0.125,0,70.0,1
29,0.560,0.580,0.0013600201,0.03687845,0.22499999403953552,1,70.0,0
30,0.580,0.600,0.0011593201,0.034048792,0.1818181872367859,1,69.12225705329153,0
31,0.600,0.620,0.0011174805,0.033428736,0.1409090906381607,1,69.77848101265823,0
32,0.620,0.640,0.0013016703,0.03607867,0.10227272659540176,1,69.33962264150944,0
33,0.640,0.660,0.0016916933,0.0411302,0.03863636404275894,1,69.12225705329153,0
34,0.660,0.680,0.0009585664,0.030960724,0.03863636404275894,1,69.12225705329153,0
35,0.680,0.700,0.00025018907,0.015817367,0.05454545468091965,1,551.25,0
36,0.700,0.720,0.00068651326,0.026201397,0.034090910106897354,1,69.12225705329153,0
37,0.720,0.740,0.00019331525,0.0139037855,0.036363635212183,1,69.12225705329153,0
38,0.740,0.760,0.0015427731,0.03927815,0.03863636404275894,1,551.25,0
39,0.760,0.780,0.0005878305,0.024245216,0.020454544574022293,1,77.36842105263158,0
40,0.780,0.800,0.0005834899,0.024155535,0.011363636702299118,1,551.25,0
41,0.800,0.820,0.0012635445,0.035546374,0.07500000298023224,1,551.25,0
