Frame,Start Time (s),End Time (s),STE,Volume,ZCR,Silent Ratio,F0,Voiced Ratio
1,0.000,0.020,1.5390053e-07,0.0003923016,0.1295454502105713,1,69.12225705329153,0
2,0.020,0.040,1.3637857e-07,0.0003692947,0.1568181812763214,1,69.12225705329153,0
3,0.040,0.060,4.7681604e-07,0.0006905187,0.011363636702299118,1,69.12225705329153,0
4,0.060,0.080,2.1622311e-07,0.00046499798,0.1090909093618393,1,84.48275862068965,0
5,0.080,0.100,5.037885e-07,0.0007097806,0.2761363685131073,1,72.05882352941177,0
6,0.100,0.120,8.396517e-07,0.0009163251,0.3659090995788574,0,70.44728434504792,0
7,0.120,0.140,5.149939e-07,0.0007176308,0.3227272629737854,1,69.77848101265823,0
8,0.140,0.160,8.9343615e-08,0.00029890402,0.22272726893424988,1,70.67307692307692,0
9,0.160,0.180,1.3165649e-07,0.000362845,0.16590909659862518,1,70.44728434504792,0
10,0.180,0.200,4.3388863e-07,0.0006587022,0.20681817829608917,1,537.8048780487804,0
11,0.200,0.220,1.3212331e-05,0.003634877,0.04318181797862053,0,102.08333333333333,1
12,0.220,0.240,1.830528e-05,0.004278467,0.059090908616781235,0,98.87892376681614,1
13,0.240,0.260,3.058864e-05,0.0055306996,0.04772727191448212,0,97.13656387665198,1
14,0.260,0.280,2.8177934e-05,0.005308289,0.06136363744735718,0,96.71052631578948,1
15,0.280,0.300,1.8602319e-05,0.0043130405,0.06363636255264282,0,96.2882096069869,1
16,0.300,0.320,1.4654107e-05,0.0038280683,0.04318181797862053,0,70.44728434504792,1
17,0.320,0.340,1.3587052e-05,0.0036860618,0.06590908765792847,0,97.13656387665198,1
18,0.340,0.360,3.3803483e-06,0.0018385723,0.04772727191448212,0,69.12225705329153,1
19,0.360,0.380,1.1674266e-06,0.0010804752,0.04545454680919647,0,69.12225705329153,1
20,0.380,0.400,8.444546e-06,0.0029059502,0.08409091085195541,0,69.77848101265823,1
21,0.400,0.420,1.6960797e-05,0.004118349,0.05000000074505806,0,100.68493150684931,1
22,0.420,0.440,2.3435014e-05,0.0048409724,0.036363635212183,0,100.22727272727273,1
23,0.440,0.460,2.0389303e-05,0.0045154514,0.05000000074505806,0,100.68493150684931,1
24,0.460,0.480,9.413299e-06,0.00306811,0.03863636404275894,0,100.22727272727273,1
25,0.480,0.500,4.8302527e-06,0.0021977837,0.029545454308390617,0,98.0,1
26,0.500,0.520,1.05061e-06,0.0010249927,0.052272725850343704,0,69.12225705329153,1
27,0.520,0.540,4.0553712e-07,0.00063681795,0.09772727638483047,1,79.6028880866426,0
28,0.540,0.560,5.163223e-07,0.0007185557,0.07954545319080353,1,69.12225705329153,0
29,0.560,0.580,2.9517435e-07,0.0005432995,0.04772727191448212,1,69.12225705329153,0
30,0.580,0.600,2.1551564e-07,0.00046423663,0.12727272510528564,1,76.29757785467127,0
31,0.600,0.620,7.972206e-08,0.00028235096,0.16818182170391083,1,82.27611940298507,0
