Frame,Start Time (s),End Time (s),STE,Volume,ZCR,Silent Ratio,F0,Voiced Ratio
1,0.000,0.020,0.00213952,0.046254944,0.18636363744735718,0,69.33962264150944,0
2,0.020,0.040,0.004106946,0.064085454,0.3386363685131073,0,69.5583596214511,0
3,0.040,0.060,0.0007244016,0.02691471,0.23181818425655365,1,71.12903225806451,0
4,0.060,0.080,0.018448612,0.13582566,0.040909089148044586,0,123.87640449438203,1
5,0.080,0.100,0.016731199,0.12934914,0.02500000037252903,0,108.08823529411765,1
6,0.100,0.120,0.0013148504,0.036260866,0.015909090638160706,0,107.03883495145631,1
7,0.120,0.140,4.6058256e-05,0.0067866235,0.052272725850343704,1,69.12225705329153,0
8,0.140,0.160,0.00014165179,0.011901756,0.03181818127632141,1,69.12225705329153,0
9,0.160,0.180,0.0032008484,0.05657604,0.229545459151268,0,69.33962264150944,0
10,0.180,0.200,0.007949763,0.08916144,0.4431818127632141,0,69.12225705329153,0
11,0.200,0.220,0.014000307,0.118322894,0.42954546213150024,0,70.67307692307692,0
12,0.220,0.240,0.021027492,0.1450086,0.30454546213150024,0,69.5583596214511,0
13,0.240,0.260,0.01603938,0.12664668,0.2454545497894287,0,69.12225705329153,0
14,0.260,0.280,0.0137062315,0.11707362,0.10454545170068741,0,69.12225705329153,0
15,0.280,0.300,0.04484695,0.21177098,0.06136363744735718,0,80.76923076923077,1
16,0.300,0.320,0.045073017,0.21230407,0.05454545468091965,0,79.6028880866426,1
17,0.320,0.340,0.030476311,0.17457466,0.05681818351149559,0,77.0979020979021,1
18,0.340,0.360,0.035359763,0.18804191,0.013636363670229912,0,79.8913043478261,1
19,0.360,0.380,0.03345381,0.18290383,0.02500000037252903,0,79.31654676258992,1
20,0.380,0.400,0.03308995,0.18190643,0.029545454308390617,0,78.46975088967972,1
21,0.400,0.420,0.028947333,0.17013916,0.052272725850343704,0,77.0979020979021,1
22,0.420,0.440,0.020192102,0.14209892,0.036363635212183,0,74.7457627118644,1
23,0.440,0.460,0.008492483,0.09215467,0.08181817829608917,0,72.29508196721312,1
24,0.460,0.480,0.003407232,0.0583715,0.44545453786849976,0,69.12225705329153,0
25,0.480,0.500,0.0068312827,0.08265158,0.5363636612892151,0,70.67307692307692,0
26,0.500,0.520,0.007265955,0.08524057,0.5977272987365723,0,69.77848101265823,0
27,0.520,0.540,0.0023432095,0.04840671,0.2590909004211426,0,69.33962264150944,0
28,0.540,0.560,0.00019828594,0.014081404,0.14772726595401764,1,69.5583596214511,0
29,0.560,0.580,2.7874214e-05,0.0052796034,0.17954544723033905,1,69.12225705329153,0
30,0.580,0.600,0.001435779,0.037891675,0.1090909093618393,0,69.12225705329153,0
31,0.600,0.620,0.00089976494,0.029996082,0.125,1,69.5583596214511,0
32,0.620,0.640,6.6429944e-05,0.0081504565,0.06818182021379471,1,69.12225705329153,0
33,0.640,0.660,7.4427466e-05,0.008627135,0.052272725850343704,1,69.12225705329153,0
34,0.660,0.680,3.3881493e-05,0.005820781,0.10681818425655365,1,71.12903225806451,0
35,0.680,0.700,0.0016245412,0.0403056,0.24318182468414307,0,69.12225705329153,0
36,0.700,0.720,0.030855983,0.17565872,0.04772727191448212,0,69.12225705329153,1
37,0.720,0.740,0.041550085,0.20383838,0.05681818351149559,0,118.54838709677419,1
38,0.740,0.760,0.043872647,0.20945798,0.03181818127632141,0,113.65979381443299,1
39,0.760,0.780,0.0295737,0.17197005,0.029545454308390617,0,110.80402010050251,1
40,0.780,0.800,0.013703136,0.11706039,0.09090909361839294,0,108.62068965517241,1
41,0.800,0.820,0.008679247,0.09316248,0.2181818187236786,0,107.5609756097561,0
42,0.820,0.840,0.007896685,0.08886329,0.3795454502105713,0,69.12225705329153,0
43,0.840,0.860,0.0030738723,0.055442512,0.2750000059604645,0,69.12225705329153,0
44,0.860,0.880,0.0008976566,0.029960917,0.05000000074505806,1,105.0,0
45,0.880,0.900,0.0011268177,0.033568107,0.08636363595724106,0,104.00943396226415,1
46,0.900,0.920,0.0013947283,0.03734606,0.3477272689342499,0,104.50236966824644,0
47,0.920,0.940,0.0037713132,0.06141102,0.290909081697464,0,101.14678899082568,0
48,0.940,0.960,0.009249293,0.09617325,0.16818182170391083,0,106.52173913043478,0
