Frame,Start Time (s),End Time (s),STE,Volume,ZCR,Silent Ratio,F0,Voiced Ratio
1,0.000,0.020,1.9345111e-07,0.0004398308,0.08409091085195541,1,69.12225705329153,0
2,0.020,0.040,4.7748335e-07,0.0006910017,0.06136363744735718,1,69.12225705329153,0
3,0.040,0.060,4.3787787e-07,0.00066172343,0.12386363744735718,1,69.12225705329153,0
4,0.060,0.080,3.5884005e-07,0.0005990326,0.04318181797862053,1,76.5625,0
5,0.080,0.100,1.573724e-07,0.00039670191,0.125,1,69.12225705329153,0
6,0.100,0.120,5.411026e-07,0.00073559675,0.09090909361839294,1,69.12225705329153,0
7,0.120,0.140,2.5878435e-06,0.0016086776,0.02500000037252903,1,69.12225705329153,0
8,0.140,0.160,7.1019176e-06,0.0026649423,0.020454544574022293,0,69.12225705329153,1
9,0.160,0.180,1.0342909e-05,0.0032160394,0.5068181753158569,0,69.33962264150944,0
10,0.180,0.200,9.245258e-05,0.009615227,0.1613636314868927,0,69.12225705329153,0
11,0.200,0.220,0.0002667659,0.016332971,0.040909089148044586,0,107.5609756097561,1
12,0.220,0.240,0.00015203084,0.0123300785,0.034090910106897354,0,96.71052631578948,1
13,0.240,0.260,9.731346e-05,0.009864759,0.040909089148044586,0,90.0,1
14,0.260,0.280,2.6533588e-05,0.0051510762,0.10681818425655365,0,84.48275862068965,0
15,0.280,0.300,1.529606e-05,0.003911018,0.44545453786849976,0,69.12225705329153,0
16,0.300,0.320,1.1635991e-05,0.0034111568,0.5022727251052856,0,69.77848101265823,0
17,0.320,0.340,4.5969027e-06,0.002144039,0.33636364340782166,0,70.44728434504792,0
18,0.340,0.360,3.0760655e-06,0.0017538716,0.08409091085195541,1,69.5583596214511,0
19,0.360,0.380,1.10181145e-05,0.0033193545,0.08181817829608917,0,70.22292993630573,1
20,0.380,0.400,9.018233e-06,0.0030030373,0.035227272659540176,0,71.5909090909091,1
21,0.400,0.420,1.6747736e-06,0.0012941305,0.013636363670229912,1,69.12225705329153,0
22,0.420,0.440,1.4755338e-06,0.0012147155,0.00909090880304575,1,69.12225705329153,0
23,0.440,0.460,4.6107436e-07,0.00067902455,0.06136363744735718,1,69.12225705329153,0
24,0.460,0.480,4.4225362e-07,0.00066502154,0.06363636255264282,1,373.728813559322,0
25,0.480,0.500,3.3519586e-07,0.00057896104,0.17045454680919647,1,70.0,0
26,0.500,0.520,5.690993e-07,0.0007543867,0.23863635957241058,1,69.12225705329153,0
27,0.520,0.540,1.8437695e-06,0.0013578547,0.036363635212183,1,525.0,0
28,0.540,0.560,2.1394148e-06,0.0014626739,0.0,0,525.0,0
29,0.560,0.580,1.7359134e-06,0.0013175406,0.06477272510528564,1,69.12225705329153,0
30,0.580,0.600,9.5070084e-07,0.0009750389,0.004545454401522875,1,69.12225705329153,0
31,0.600,0.620,1.4135006e-06,0.0011889073,0.011363636702299118,1,537.8048780487804,0
32,0.620,0.640,1.034465e-06,0.0010170866,0.00909090880304575,1,69.33962264150944,0
33,0.640,0.660,7.4568317e-07,0.0008635295,0.05000000074505806,1,469.1489361702128,0
34,0.660,0.680,2.2111203e-07,0.00047022552,0.15227273106575012,1,70.44728434504792,0
35,0.680,0.700,2.6278923e-07,0.00051262975,0.17499999701976776,1,69.33962264150944,0
36,0.700,0.720,8.9497144e-07,0.0009460293,0.09090909361839294,1,69.12225705329153,0
37,0.720,0.740,3.716653e-07,0.0006096436,0.1295454502105713,1,69.12225705329153,0
38,0.740,0.760,6.366635e-07,0.00079791195,0.11590909212827682,1,69.12225705329153,0
39,0.760,0.780,4.813523e-07,0.00069379556,0.15454545617103577,1,69.12225705329153,0
40,0.780,0.800,4.90241e-07,0.00070017215,0.12272727489471436,1,71.12903225806451,0
41,0.800,0.820,4.465132e-07,0.00066821644,0.1613636314868927,1,70.0,0
42,0.820,0.840,6.011867e-07,0.0007753623,0.16363635659217834,1,69.12225705329153,0
43,0.840,0.860,5.2116263e-07,0.000721916,0.13409091532230377,1,69.12225705329153,0
