Frame,Start Time (s),End Time (s),STE,Volume,ZCR,Silent Ratio,F0,Voiced Ratio
1,0.000,0.020,3.2058106e-05,0.0056619877,0.1295454502105713,1,70.67307692307692,0
2,0.020,0.040,4.9340306e-05,0.0070242654,0.06136363744735718,1,81.66666666666667,0
3,0.040,0.060,0.00022980977,0.0151594775,0.0022727272007614374,0,101.14678899082568,1
4,0.060,0.080,0.0016580026,0.040718578,0.034090910106897354,0,120.49180327868852,1
5,0.080,0.100,0.0008595959,0.029318865,0.034090910106897354,0,111.92893401015229,1
6,0.100,0.120,0.00037268706,0.019305104,0.02500000037252903,0,108.08823529411765,1
7,0.120,0.140,0.0003566179,0.01888433,0.020454544574022293,0,108.08823529411765,1
8,0.140,0.160,0.0002400151,0.015492421,0.0181818176060915,0,104.00943396226415,1
9,0.160,0.180,5.9140326e-05,0.0076902746,0.0181818176060915,1,110.80402010050251,0
10,0.180,0.200,0.00010811412,0.010397794,0.04545454680919647,0,329.1044776119403,1
11,0.200,0.220,0.002045469,0.04522686,0.0022727272007614374,0,551.25,1
12,0.220,0.240,0.0024438794,0.049435608,0.0022727272007614374,0,551.25,1
13,0.240,0.260,0.0014313618,0.03783334,0.006818181835114956,0,551.25,1
14,0.260,0.280,0.0049947104,0.070673265,0.029545454308390617,0,71.35922330097087,1
15,0.280,0.300,0.003908001,0.06251401,0.03181818127632141,0,107.5609756097561,1
16,0.300,0.320,0.0035986411,0.059988674,0.027272727340459824,0,106.00961538461539,1
17,0.320,0.340,0.0020676008,0.04547088,0.020454544574022293,0,95.8695652173913,1
18,0.340,0.360,0.00017224213,0.013124105,0.015909090638160706,0,92.6470588235294,1
19,0.360,0.380,9.48478e-05,0.009738984,0.022727273404598236,1,93.0379746835443,0
20,0.380,0.400,5.5453354e-05,0.0074467007,0.011363636702299118,1,90.74074074074075,0
21,0.400,0.420,0.0012943983,0.035977747,0.015909090638160706,0,69.12225705329153,1
22,0.420,0.440,0.0051367395,0.071671054,0.0181818176060915,0,69.12225705329153,1
23,0.440,0.460,0.003885719,0.062335536,0.013636363670229912,0,104.50236966824644,1
24,0.460,0.480,0.0020103485,0.04483691,0.0181818176060915,0,104.50236966824644,1
25,0.480,0.500,0.0016224218,0.0402793,0.0181818176060915,0,102.55813953488372,1
26,0.500,0.520,0.0022425624,0.0473557,0.022727273404598236,0,103.52112676056338,1
27,0.520,0.540,0.0035191556,0.059322473,0.027272727340459824,0,106.52173913043478,1
28,0.540,0.560,0.0037527534,0.06125972,0.029545454308390617,0,106.52173913043478,1
29,0.560,0.580,0.0044868784,0.06698416,0.029545454308390617,0,109.15841584158416,1
30,0.580,0.600,0.0028809449,0.053674433,0.03181818127632141,0,112.5,1
31,0.600,0.620,0.0015525396,0.03940228,0.03181818127632141,0,113.65979381443299,1
32,0.620,0.640,0.00050231104,0.022412296,0.02500000037252903,0,113.65979381443299,1
33,0.640,0.660,0.00021725144,0.014739452,0.015909090638160706,0,114.84375,1
34,0.660,0.680,0.00031291659,0.017689448,0.013636363670229912,0,121.15384615384616,1
35,0.680,0.700,0.0019919027,0.044630736,0.02500000037252903,0,130.47337278106508,1
36,0.700,0.720,0.001724386,0.041525725,0.022727273404598236,0,132.83132530120483,1
37,0.720,0.740,0.0023187546,0.04815345,0.02500000037252903,0,135.27607361963192,1
38,0.740,0.760,0.0015881022,0.039851,0.027272727340459824,0,70.0,1
39,0.760,0.780,0.0007760564,0.027857788,0.022727273404598236,0,71.12903225806451,1
40,0.780,0.800,6.239967e-05,0.007899346,0.034090910106897354,1,71.5909090909091,0
41,0.800,0.820,2.1307387e-05,0.004615993,0.029545454308390617,1,69.12225705329153,0
42,0.820,0.840,1.1740423e-05,0.00342643,0.17272727191448212,1,69.33962264150944,0
43,0.840,0.860,2.1268534e-05,0.0046117823,0.15454545617103577,1,69.12225705329153,0
