Frame,Start Time (s),End Time (s),STE,Volume,ZCR,Silent Ratio,F0,Voiced Ratio
1,0.000,0.020,1.052612e-06,0.0010259688,0.036363635212183,1,69.12225705329153,0
2,0.020,0.040,3.7205195e-06,0.0019288649,0.013636363670229912,1,69.12225705329153,0
3,0.040,0.060,3.0351823e-06,0.0017421774,0.02500000037252903,1,69.12225705329153,0
4,0.060,0.080,1.7396878e-05,0.0041709566,0.0181818176060915,1,74.7457627118644,0
5,0.080,0.100,0.0013006908,0.03606509,0.036363635212183,0,69.12225705329153,1
6,0.100,0.120,0.0010748681,0.03278518,0.040909089148044586,0,112.5,1
7,0.120,0.140,0.0022184877,0.047100823,0.0181818176060915,0,108.08823529411765,1
8,0.140,0.160,0.0028140934,0.05304803,0.0181818176060915,0,105.50239234449761,1
9,0.160,0.180,0.0021667583,0.046548452,0.020454544574022293,0,104.00943396226415,1
10,0.180,0.200,0.0021966954,0.046868917,0.04318181797862053,0,106.00961538461539,1
11,0.200,0.220,0.0029029378,0.05387892,0.036363635212183,0,104.50236966824644,1
12,0.220,0.240,0.0019518551,0.044179805,0.036363635212183,0,103.52112676056338,1
13,0.240,0.260,0.00090435747,0.030072536,0.020454544574022293,0,69.12225705329153,1
14,0.260,0.280,0.001164321,0.034122147,0.0181818176060915,0,103.52112676056338,1
15,0.280,0.300,0.001029157,0.032080475,0.0181818176060915,0,104.00943396226415,1
16,0.300,0.320,0.0023491336,0.048467863,0.03863636404275894,0,106.52173913043478,1
17,0.320,0.340,0.0026693242,0.051665504,0.036363635212183,0,105.0,1
18,0.340,0.360,0.0025068081,0.050068036,0.027272727340459824,0,104.50236966824644,1
19,0.360,0.380,0.0012177305,0.034895994,0.0181818176060915,0,69.12225705329153,1
20,0.380,0.400,1.27932635e-05,0.0035767672,0.05000000074505806,1,70.67307692307692,0
21,0.400,0.420,1.3513385e-06,0.0011624709,0.09772727638483047,1,71.5909090909091,0
22,0.420,0.440,1.4370223e-06,0.0011987586,0.07045454531908035,1,69.33962264150944,0
23,0.440,0.460,0.0008437819,0.029047925,0.05000000074505806,0,69.12225705329153,1
24,0.460,0.480,0.001853355,0.04305061,0.0181818176060915,0,119.83695652173913,1
25,0.480,0.500,0.0015566421,0.039454304,0.022727273404598236,0,102.55813953488372,1
26,0.500,0.520,0.00014429846,0.01201243,0.027272727340459824,0,551.25,1
27,0.520,0.540,0.00011009932,0.010492822,0.0,0,551.25,0
28,0.540,0.560,6.748285e-06,0.0025977462,0.013636363670229912,1,69.12225705329153,0
29,0.560,0.580,1.3158967e-05,0.0036275291,0.0,0,69.12225705329153,0
30,0.580,0.600,0.0018161525,0.04261634,0.004545454401522875,0,551.25,1
31,0.600,0.620,0.009800841,0.098999195,0.00909090880304575,0,69.12225705329153,1
32,0.620,0.640,0.00715033,0.08455963,0.011363636702299118,0,116.66666666666667,1
33,0.640,0.660,0.002808319,0.052993573,0.03181818127632141,0,115.44502617801047,1
34,0.660,0.680,0.0026301646,0.05128513,0.036363635212183,0,116.05263157894737,1
35,0.680,0.700,0.0030819278,0.055515114,0.029545454308390617,0,117.2872340425532,1
36,0.700,0.720,0.002292603,0.047881134,0.02500000037252903,0,119.1891891891892,1
37,0.720,0.740,0.0024203963,0.049197525,0.020454544574022293,0,121.15384615384616,1
38,0.740,0.760,0.0029477456,0.054293144,0.022727273404598236,0,121.8232044198895,1
39,0.760,0.780,0.0023196305,0.048162542,0.02500000037252903,0,122.5,1
40,0.780,0.800,0.002628645,0.051270314,0.034090910106897354,0,121.8232044198895,1
41,0.800,0.820,0.0019847157,0.044550147,0.03863636404275894,0,123.18435754189944,1
42,0.820,0.840,0.0027776984,0.052703876,0.03181818127632141,0,123.87640449438203,1
43,0.840,0.860,0.0020743124,0.04554462,0.036363635212183,0,124.57627118644068,1
44,0.860,0.880,0.002719201,0.052145958,0.03181818127632141,0,123.87640449438203,1
45,0.880,0.900,0.0021513833,0.04638301,0.036363635212183,0,123.18435754189944,1
46,0.900,0.920,0.00196395,0.044316474,0.034090910106897354,0,123.87640449438203,1
47,0.920,0.940,0.0013086047,0.036174644,0.052272725850343704,0,122.5,1
48,0.940,0.960,0.00019600065,0.014000023,0.036363635212183,0,128.94736842105263,1
49,0.960,0.980,1.3415986e-05,0.003662784,0.06590908765792847,1,69.12225705329153,0
50,0.980,1.000,4.7969024e-06,0.0021901831,0.06818182021379471,1,70.90032154340837,0
51,1.000,1.020,1.0096192e-06,0.0010047981,0.09772727638483047,1,69.12225705329153,0
52,1.020,1.040,6.3354855e-07,0.00079595763,0.12272727489471436,1,69.5583596214511,0
53,1.040,1.060,9.766575e-07,0.0009882598,0.04545454680919647,1,69.12225705329153,0
54,1.060,1.080,6.9619e-07,0.00083438,0.06363636255264282,1,69.12225705329153,0
