Frame,Start Time (s),End Time (s),STE,Volume,ZCR,Silent Ratio,F0,Voiced Ratio
1,0.000,0.020,0.0001854941,0.013619621,0.036363635212183,1,512.7906976744187,0
2,0.020,0.040,0.00019687164,0.014031095,0.004545454401522875,1,69.12225705329153,0
3,0.040,0.060,2.4136061e-05,0.0049128467,0.13636364042758942,1,76.29757785467127,0
4,0.060,0.080,6.563302e-05,0.008101421,0.09772727638483047,1,69.12225705329153,0
5,0.080,0.100,5.339622e-05,0.0073072715,0.03863636404275894,1,69.12225705329153,0
6,0.100,0.120,0.00034259137,0.018509224,0.0,0,450.0,0
7,0.120,0.140,0.00018098518,0.013453073,0.015909090638160706,1,459.375,0
8,0.140,0.160,6.162208e-05,0.007849974,0.09090909361839294,1,69.12225705329153,0
9,0.160,0.180,0.00012764696,0.011298095,0.04545454680919647,1,551.25,0
10,0.180,0.200,0.00016266877,0.0127541665,0.05000000074505806,1,69.12225705329153,0
11,0.200,0.220,0.00010245143,0.010121829,0.036363635212183,1,69.12225705329153,0
12,0.220,0.240,0.00015618275,0.01249731,0.07500000298023224,1,69.12225705329153,0
13,0.240,0.260,0.00032635042,0.018065171,0.040909089148044586,1,69.12225705329153,0
14,0.260,0.280,0.0001582325,0.01257905,0.004545454401522875,1,71.12903225806451,0
15,0.280,0.300,0.000114089446,0.010681266,0.04545454680919647,1,69.12225705329153,0
16,0.300,0.320,9.2185226e-05,0.009601314,0.07727272808551788,1,69.12225705329153,0
17,0.320,0.340,0.00022655952,0.015051895,0.072727270424366,1,551.25,0
18,0.340,0.360,0.0014162823,0.037633527,0.02500000037252903,1,71.35922330097087,0
19,0.360,0.380,0.0044514756,0.06671938,0.029545454308390617,0,110.25,1
20,0.380,0.400,0.012323036,0.11100917,0.052272725850343704,0,117.2872340425532,1
21,0.400,0.420,0.034063388,0.1845627,0.06363636255264282,0,123.87640449438203,1
22,0.420,0.440,0.014976225,0.12237739,0.07727272808551788,0,69.12225705329153,1
23,0.440,0.460,0.0018647864,0.043183174,0.03863636404275894,1,69.12225705329153,0
24,0.460,0.480,0.0012140801,0.034843653,0.027272727340459824,1,69.12225705329153,0
