VSTD,VDR,VU,LSTER,Energy_Entropy,ZSTD,HZCRR,Start Time (s),End Time (s)
0.33488265,1.0,0.4701302,0.44,2.5058994,0.026735324627194388,0.14,0.0,1.0
0.16766885,0.71663654,0.7408985,0.16,3.2301128,0.008485494851084269,0.04,0.5,1.5
0.11899773,0.620417,0.6101885,0.08,3.2704954,0.010034565692907678,0.02,1.0,2.0
0.14382914,0.63007736,0.636909,0.14,3.291243,0.009610101028908772,0.0,1.5,2.5
0.14758728,0.63007736,0.6873264,0.08,3.2785165,0.009673307033970655,0.0,2.0,3.0
0.12547246,0.6282663,0.7535241,0.1,3.289307,0.010077231439329652,0.02,2.5,3.5
0.12707806,0.6751604,0.82775694,0.08,3.2882128,0.01190986228273853,0.0,3.0,4.0
0.14270756,0.6670142,0.7753866,0.16,3.262679,0.01693720368789295,0.04,3.5,4.5
0.16430062,0.7504594,0.5072399,0.26,3.052583,0.03158267220485609,0.1,4.0,5.0
0.14411327,0.7834747,0.29736826,0.18,3.1059644,0.02753957490984113,0.02,4.5,5.5
0.16176787,0.80704886,0.2396267,0.46,2.73056,0.021798571442435404,0.0,5.0,6.0
0.28719974,0.8112034,0.15965496,0.68,2.3901188,0.040984338141561105,0.02,5.5,6.5
0.23336004,0.87577355,0.38591242,0.26,2.9986174,0.037534465489952304,0.18,6.0,7.0
0.15467793,0.610967,0.6856124,0.16,3.282871,0.009894536518213799,0.02,6.5,7.5
0.12978666,0.56529725,0.7556832,0.08,3.3106365,0.008763592700082375,0.02,7.0,8.0
0.107769586,0.5266435,0.61796206,0.06,3.315573,0.011095890869101926,0.06,7.5,8.5
0.13618499,0.54261684,0.69674414,0.1,3.3022091,0.01094145209991996,0.06,8.0,9.0
0.14049613,0.54261684,0.78524697,0.08,3.3022714,0.010643094496904081,0.04,8.5,9.5
0.13892053,0.5572584,0.86327446,0.08,3.3072999,0.011906398744695923,0.06,9.0,10.0
0.16382411,0.7244635,0.9511972,0.18,3.2979357,0.011282975747130544,0.06,9.5,10.5
0.18006958,0.7244635,0.66195405,0.28,3.1600063,0.02156042735123205,0.08,10.0,11.0
0.15126362,0.7063074,0.4198174,0.18,3.1972084,0.025205273773101357,0.04,10.5,11.5
0.15903975,0.83699846,0.32096875,0.3,2.9521828,0.023900071673925764,0.02,11.0,12.0
0.14893848,0.6426396,0.09926666,0.08,3.1411905,0.017501881137477825,0.0,11.5,12.5
0.3015251,0.859957,0.26007235,0.58,2.4356885,0.04398056255656781,0.08,12.0,13.0
0.20795217,0.8461952,0.47163185,0.16,3.164925,0.023182685403484764,0.08,12.5,13.5
0.1350679,0.53744763,0.5260724,0.06,3.2690449,0.013315939607793559,0.06,13.0,14.0
0.119172655,0.53688955,0.46497893,0.02,3.2925997,0.015783584333414574,0.0,13.5,14.5
0.10547543,0.46666735,0.3879839,0.04,3.3139713,0.014184989326441902,0.0,14.0,15.0
0.21399795,0.7534075,0.84646076,0.48,3.00891,0.013990832890665474,0.0,14.5,15.5
0.2307386,0.7619566,1.178408,0.4,3.1243885,0.011919550697331615,0.0,15.0,16.0
0.18456781,0.7320367,1.0907078,0.32,3.1322947,0.01237669858520602,0.0,15.5,16.5
0.15889461,0.64428365,0.86238945,0.1,3.213265,0.012639647602832638,0.0,16.0,17.0
0.16618866,0.7146773,0.5598918,0.18,3.1861079,0.01308590003965258,0.0,16.5,17.5
0.1967774,0.7705171,0.51436955,0.22,3.1416297,0.009493478179243068,0.0,17.0,18.0
0.23183942,0.825513,0.4799534,0.44,2.9124074,0.01150281642275894,0.0,17.5,18.5
0.22281687,0.83077633,0.45775613,0.44,2.8944237,0.02812199763621678,0.1,18.0,19.0
0.18588354,0.83077633,0.56863385,0.12,3.2188525,0.018934990307814516,0.1,18.5,19.5
0.13081789,0.57919866,0.5500679,0.12,3.30064,0.011341858185208763,0.08,19.0,20.0
0.15244849,0.60692304,0.52852863,0.12,3.2643268,0.009642677148727475,0.06,19.5,20.5
0.13887076,0.6305893,0.54580414,0.04,3.2762275,0.0090603920524107,0.04,20.0,21.0
0.17325403,0.7227004,0.8020038,0.1,3.2803013,0.015600209310122902,0.12,20.5,21.5
0.19324885,0.75179756,1.1975479,0.24,3.2641797,0.017014010521469166,0.1,21.0,22.0
0.15845682,0.67118204,1.1607485,0.14,3.2829268,0.012382380362770526,0.02,21.5,22.5
0.12034948,0.5731992,0.6868877,0.04,3.2706494,0.01171767845614545,0.0,22.0,23.0
0.16946809,0.7502362,0.40371433,0.16,3.165236,0.01474205261809329,0.04,22.5,23.5
0.1085973,0.7123149,0.29316804,0.1,3.2788522,0.015407329689166683,0.0,23.0,24.0
0.16337693,0.8976578,0.43342808,0.3,2.9868858,0.02510734977556835,0.04,23.5,24.5
0.19929442,0.96617115,0.33838835,0.7,1.9105247,0.024348854257984453,0.06,24.0,25.0
0.2074027,0.8852795,0.040134627,0.52,2.560817,0.01956842215018717,0.04,24.5,25.5
0.30616206,0.99126434,0.6183834,0.78,1.7607443,0.0227437178830367,0.04,25.0,26.0
0.31796739,0.99126434,0.81360894,0.4166666666666667,2.8995485,0.023883610018991155,0.08333333333333333,25.5,26.235
