VSTD,VDR,VU,LSTER,Energy_Entropy,ZSTD,HZCRR,Start Time (s),End Time (s)
0.15747581,0.79505855,1.3122416,0.16,3.2781873,0.03160258098288349,0.08,0.0,1.0
0.1849581,0.8792851,1.5146916,0.34,3.1155152,0.04464766223356154,0.18,0.5,1.5
0.20568053,0.8968784,1.5614005,0.44,3.000259,0.05309118133868602,0.22,1.0,2.0
0.16691324,0.91154057,1.3981965,0.22,3.0414076,0.03547853647144708,0.04,1.5,2.5
0.13652416,0.89295894,0.97778755,0.24,2.969999,0.03507156829378759,0.16,2.0,3.0
0.16731963,0.85625833,1.3260816,0.28,3.1034627,0.03114282556266055,0.28,2.5,3.5
0.18535475,0.91598785,1.9450585,0.38,3.0736232,0.02647433004652639,0.04,3.0,4.0
0.18331884,0.91598785,1.679162,0.4,2.9493756,0.032372686053975155,0.08,3.5,4.5
0.17358403,0.9032349,1.5889732,0.34,3.0173995,0.02705669223149793,0.04,4.0,5.0
0.17604081,0.89123136,1.5757372,0.32,3.142208,0.021024998206443327,0.0,4.5,5.5
0.17768049,0.921163,1.4794776,0.28,3.1471558,0.08137345013376666,0.12,5.0,6.0
0.20684373,0.9022035,1.2518023,0.38,2.991025,0.08167374036883485,0.14,5.5,6.5
0.18178983,0.86350167,0.922074,0.24,3.0563703,0.04408664492471748,0.14,6.0,7.0
0.13437329,0.7581346,1.1214389,0.12,3.0967205,0.023277593454902705,0.04,6.5,7.5
0.15421604,0.82826746,1.2900208,0.2,2.9815295,0.026151321450872667,0.06,7.0,8.0
0.1716913,0.88782734,1.460184,0.42,2.7899418,0.02632068411393706,0.0,7.5,8.5
0.17997448,0.9429101,1.4774868,0.38,2.8368645,0.023842342551984745,0.0,8.0,9.0
0.16856079,0.9446093,1.4360862,0.22,3.0849955,0.022474013895803287,0.02,8.5,9.5
0.15484828,0.86562276,1.5416018,0.26,3.1616917,0.02879822466416633,0.12,9.0,10.0
0.17204343,0.8789924,1.5164418,0.32,3.128561,0.029562525260480844,0.08,9.5,10.5
0.18695511,0.8998051,1.8893963,0.32,3.1022446,0.04417574882207676,0.08,10.0,11.0
0.1622776,0.8998051,1.7557139,0.18,3.159593,0.04352460331687918,0.08,10.5,11.5
0.151012,0.76435685,1.2882894,0.24,3.101206,0.020122639253077192,0.02,11.0,12.0
0.16401197,0.7694094,1.2952496,0.3,2.9856877,0.02537128337514241,0.1,11.5,12.5
0.12964003,0.7888552,1.1249841,0.14,3.123175,0.0939238394008138,0.12,12.0,13.0
0.14225893,0.888848,1.3706524,0.18,3.1263173,0.09217109024276866,0.14,12.5,13.5
0.17422758,0.8897139,1.7099388,0.3,3.0802085,0.04465250374112892,0.1,13.0,14.0
0.16064137,0.86482793,1.6391443,0.24,3.1719487,0.06394228700170174,0.1,13.5,14.5
0.16781761,0.82030964,1.3841604,0.35714285714285715,3.1087472,0.06731888360876172,0.09523809523809523,14.0,14.841
