Frame,Start Time (s),End Time (s),STE,Volume,ZCR,Silent Ratio,F0,Voiced Ratio
1,0.000,0.020,0.0,0.0,0.0,0,1102.5,0
2,0.020,0.040,0.0,0.0,0.0,0,1102.5,0
3,0.040,0.060,0.0,0.0,0.0,0,1102.5,0
4,0.060,0.080,0.0,0.0,0.0,0,1102.5,0
5,0.080,0.100,0.0,0.0,0.0,0,1102.5,0
6,0.100,0.120,0.0,0.0,0.0,0,1102.5,0
7,0.120,0.140,0.0,0.0,0.0,0,1102.5,0
8,0.140,0.160,0.0,0.0,0.0,0,1102.5,0
9,0.160,0.180,0.0,0.0,0.0,0,1102.5,0
10,0.180,0.200,0.0,0.0,0.0,0,1102.5,0
11,0.200,0.220,3.281249e-08,0.00018114218,0.015323496423661709,1,1102.5,0
12,0.220,0.240,2.6068056e-08,0.00016145605,0.01021566428244114,1,1102.5,0
13,0.240,0.260,1.4161753e-08,0.00011900316,0.06810442358255386,1,169.6153846153846,0
14,0.260,0.280,1.5203682e-08,0.00012330321,0.04880817234516144,1,1102.5,0
15,0.280,0.300,3.259365e-08,0.00018053711,0.10783200711011887,1,1102.5,0
16,0.300,0.320,8.222018e-07,0.0009067534,0.017026105895638466,1,1102.5,0
17,0.320,0.340,7.410614e-08,0.00027222442,0.07264472544193268,1,1025.5813953488373,0
18,0.340,0.360,9.909061e-07,0.0009954426,0.13620884716510773,1,141.34615384615384,0
19,0.360,0.380,0.00032468565,0.018019035,0.07264472544193268,0,181.4814814814815,1
20,0.380,0.400,0.0019361676,0.044001903,0.035187285393476486,0,193.42105263157896,1
21,0.400,0.420,0.0024667778,0.049666665,0.024971622973680496,0,207.04225352112675,1
22,0.420,0.440,0.0036412945,0.06034314,0.02837684378027916,0,214.07766990291262,1
23,0.440,0.460,0.0059650233,0.07723356,0.03632236272096634,0,218.31683168316832,1
24,0.460,0.480,0.005754574,0.07585891,0.03291713818907738,0,218.31683168316832,1
25,0.480,0.500,0.0057462193,0.075803824,0.03291713818907738,0,216.1764705882353,1
26,0.500,0.520,0.006713064,0.08193329,0.029511917382478714,0,216.1764705882353,1
27,0.520,0.540,0.0051795943,0.0719694,0.023836549371480942,0,220.5,1
28,0.540,0.560,0.0059662564,0.07724155,0.03178206458687782,0,220.5,1
29,0.560,0.580,0.008013967,0.08952077,0.039727583527565,0,218.31683168316832,1
30,0.580,0.600,0.009410413,0.09700728,0.04426787793636322,0,217.24137931034483,1
31,0.600,0.620,0.00995726,0.09978607,0.03178206458687782,0,217.24137931034483,1
32,0.620,0.640,0.009458293,0.097253755,0.03291713818907738,0,217.24137931034483,1
33,0.640,0.660,0.0060783722,0.07796392,0.029511917382478714,0,217.24137931034483,1
34,0.660,0.680,0.0030921444,0.055607054,0.03291713818907738,0,213.04347826086956,1
35,0.680,0.700,0.0016581633,0.040720552,0.04880817234516144,0,218.31683168316832,1
36,0.700,0.720,0.0028669797,0.053544186,0.03859250992536545,0,217.24137931034483,1
37,0.720,0.740,0.0034462549,0.058704812,0.04086265712976456,0,219.40298507462686,1
38,0.740,0.760,0.006091837,0.07805022,0.030646992847323418,0,228.49740932642487,1
39,0.760,0.780,0.015866524,0.12596239,0.043132804334163666,0,239.67391304347825,1
40,0.780,0.800,0.013965636,0.11817629,0.04426787793636322,0,239.67391304347825,1
41,0.800,0.820,0.008639193,0.09294726,0.04426787793636322,0,238.3783783783784,1
42,0.820,0.840,0.003951026,0.06285719,0.047673098742961884,0,232.10526315789474,1
43,0.840,0.860,0.0016927922,0.041143555,0.04880817234516144,0,234.5744680851064,1
44,0.860,0.880,0.0031080414,0.05574981,0.061293985694646835,0,140.44585987261146,1
45,0.880,0.900,0.0053553525,0.07318027,0.0522133931517601,0,162.13235294117646,1
46,0.900,0.920,0.014973058,0.12236445,0.03859250992536545,0,144.59016393442624,1
47,0.920,0.940,0.017725952,0.13313885,0.027241770178079605,0,148.98648648648648,1
48,0.940,0.960,0.017528322,0.13239457,0.02610669657588005,0,146.51162790697674,1
49,0.960,0.980,0.012143135,0.1101959,0.02837684378027916,0,143.64820846905536,1
50,0.980,1.000,0.011684919,0.1080968,0.02610669657588005,0,144.59016393442624,1
51,1.000,1.020,0.011181265,0.1057415,0.03291713818907738,0,145.06578947368422,1
52,1.020,1.040,0.012040701,0.109730124,0.029511917382478714,0,145.54455445544554,1
53,1.040,1.060,0.012375604,0.11124569,0.02610669657588005,0,147.0,1
54,1.060,1.080,0.02065093,0.14370431,0.027241770178079605,0,148.98648648648648,1
55,1.080,1.100,0.016404325,0.12807937,0.027241770178079605,0,297.97297297297297,1
56,1.100,1.120,0.0071306685,0.084443286,0.03632236272096634,0,196.875,1
57,1.120,1.140,0.012444443,0.11155467,0.03178206458687782,0,145.54455445544554,1
58,1.140,1.160,0.012059945,0.10981778,0.03291713818907738,0,146.02649006622516,1
59,1.160,1.180,0.006446561,0.08029048,0.03859250992536545,0,145.06578947368422,1
60,1.180,1.200,0.0064864126,0.080538265,0.043132804334163666,0,143.64820846905536,1
61,1.200,1.220,0.003535702,0.05946177,0.03859250992536545,0,145.06578947368422,1
62,1.220,1.240,0.007850516,0.08860314,0.037457436323165894,0,144.59016393442624,1
63,1.240,1.260,0.0054768454,0.074005716,0.05902383476495743,0,146.51162790697674,1
64,1.260,1.280,0.004497509,0.06706347,0.04880817234516144,0,308.3916083916084,1
65,1.280,1.300,0.011955169,0.1093397,0.03632236272096634,0,170.27027027027026,1
66,1.300,1.320,0.012785051,0.113071,0.035187285393476486,0,171.5953307392996,1
67,1.320,1.340,0.010510778,0.10252208,0.039727583527565,0,329.1044776119403,1
68,1.340,1.360,0.010392899,0.101945564,0.037457436323165894,0,141.80064308681673,1
69,1.360,1.380,0.008504193,0.09221818,0.03632236272096634,0,166.41509433962264,1
70,1.380,1.400,0.008525253,0.092332296,0.04086265712976456,0,167.680608365019,1
71,1.400,1.420,0.009449845,0.09721032,0.04653802514076233,0,341.86046511627904,1
72,1.420,1.440,0.0074701556,0.086430065,0.039727583527565,0,149.4915254237288,1
73,1.440,1.460,0.004796729,0.06925842,0.04653802514076233,0,177.82258064516128,1
74,1.460,1.480,0.006912902,0.08314386,0.04199773073196411,0,144.11764705882354,1
75,1.480,1.500,0.009302294,0.0964484,0.04426787793636322,0,355.64516129032256,1
76,1.500,1.520,0.005624115,0.0749941,0.04199773073196411,0,148.98648648648648,1
77,1.520,1.540,0.008057016,0.089760885,0.04880817234516144,0,350.0,1
