Frame,Start Time (s),End Time (s),STE,Volume,ZCR,Silent Ratio,F0,Voiced Ratio
1,0.000,0.020,0.005968988,0.07725923,0.06696934998035431,0,1102.5,0
2,0.020,0.040,0.005968033,0.07725304,0.04426787793636322,0,1102.5,0
3,0.040,0.060,0.0045569707,0.06750534,0.0522133931517601,0,1102.5,0
4,0.060,0.080,0.004042187,0.063578196,0.14074914157390594,0,138.24451410658307,0
5,0.080,0.100,0.08907634,0.2984566,0.07832009345293045,0,138.24451410658307,1
6,0.100,0.120,0.07538647,0.27456596,0.07037457078695297,0,760.3448275862069,1
7,0.120,0.140,0.03252921,0.18035856,0.10102156549692154,0,141.80064308681673,0
8,0.140,0.160,0.025528641,0.15977685,0.10783200711011887,0,165.1685393258427,0
9,0.160,0.180,0.016964003,0.13024594,0.09875141829252243,0,164.55223880597015,1
10,0.180,0.200,0.018259944,0.13512936,0.0919409766793251,0,246.3687150837989,1
11,0.200,0.220,0.019276973,0.13884154,0.089670829474926,0,165.1685393258427,1
12,0.220,0.240,0.02562327,0.1600727,0.13620884716510773,0,165.1685393258427,0
13,0.240,0.260,0.02650143,0.1627926,0.10556185990571976,0,155.8303886925795,0
14,0.260,0.280,0.022293909,0.14931145,0.09761634469032288,0,165.1685393258427,1
15,0.280,0.300,0.01519514,0.12326857,0.0771850198507309,0,141.34615384615384,1
16,0.300,0.320,0.013843563,0.117658675,0.06696934998035431,0,167.04545454545453,1
17,0.320,0.340,0.018032776,0.13428618,0.1271282583475113,0,141.80064308681673,0
18,0.340,0.360,0.014825916,0.12176172,0.10329171270132065,0,140.44585987261146,0
19,0.360,0.380,0.022605108,0.15034994,0.10556185990571976,0,250.5681818181818,0
20,0.380,0.400,0.028177243,0.16786079,0.07037457078695297,0,144.11764705882354,1
21,0.400,0.420,0.033175923,0.18214259,0.06923949718475342,0,145.06578947368422,1
22,0.420,0.440,0.02498058,0.15805246,0.06356412917375565,0,147.98657718120805,1
23,0.440,0.460,0.012257973,0.11071573,0.0771850198507309,0,140.0,1
24,0.460,0.480,0.013343359,0.11551346,0.15777525305747986,0,140.0,0
25,0.480,0.500,0.014135432,0.11889253,0.2315550446510315,0,139.55696202531647,0
26,0.500,0.520,0.011639694,0.10788741,0.15096481144428253,0,144.59016393442624,0
27,0.520,0.540,0.023626246,0.15370831,0.07604994624853134,0,172.265625,1
28,0.540,0.560,0.022241475,0.14913575,0.09648127108812332,0,170.93023255813952,1
29,0.560,0.580,0.020917552,0.14462902,0.07037457078695297,0,171.5953307392996,1
30,0.580,0.600,0.010064653,0.100322746,0.07604994624853134,0,150.0,1
31,0.600,0.620,0.007516964,0.086700425,0.07037457078695297,0,168.9655172413793,1
32,0.620,0.640,0.009148681,0.095648736,0.09421112388372421,0,171.5953307392996,1
33,0.640,0.660,0.008534862,0.092384316,0.11010215431451797,0,172.265625,0
34,0.660,0.680,0.049232114,0.2218831,0.08286038786172867,0,182.23140495867767,1
35,0.680,0.700,0.09624022,0.31022608,0.053348466753959656,0,900.0,1
36,0.700,0.720,0.031278677,0.17685778,0.11123722791671753,0,191.7391304347826,0
37,0.720,0.740,0.025101114,0.15843332,0.10783200711011887,0,191.7391304347826,0
38,0.740,0.760,0.017717686,0.1331078,0.1044267863035202,0,190.08620689655172,0
39,0.760,0.780,0.021856723,0.1478402,0.07945516705513,0,147.0,1
40,0.780,0.800,0.018109554,0.13457175,0.08286038786172867,0,185.2941176470588,1
41,0.800,0.820,0.01461603,0.12089677,0.08286038786172867,0,184.51882845188285,1
42,0.820,0.840,0.02106288,0.14513056,0.08513053506612778,0,144.11764705882354,1
43,0.840,0.860,0.018760221,0.13696796,0.06015891209244728,0,185.2941176470588,1
44,0.860,0.880,0.02059711,0.14351693,0.08853575587272644,0,182.9875518672199,1
45,0.880,0.900,0.016901465,0.13000563,0.06923949718475342,0,182.23140495867767,1
46,0.900,0.920,0.017799778,0.1334158,0.08059024065732956,0,183.75,1
47,0.920,0.940,0.016393447,0.1280369,0.06696934998035431,0,184.51882845188285,1
48,0.940,0.960,0.017147731,0.13094935,0.061293985694646835,0,182.9875518672199,1
49,0.960,0.980,0.01780744,0.13344452,0.0771850198507309,0,182.23140495867767,1
50,0.980,1.000,0.020381287,0.14276305,0.07604994624853134,0,183.75,1
51,1.000,1.020,0.018046396,0.13433687,0.07604994624853134,0,182.9875518672199,1
52,1.020,1.040,0.01589518,0.12607609,0.07604994624853134,0,183.75,1
53,1.040,1.060,0.00655699,0.08097524,0.06810442358255386,0,138.24451410658307,1
54,1.060,1.080,0.0032903801,0.057361834,0.07377979904413223,0,139.1167192429022,1
55,1.080,1.100,0.0017266759,0.04155329,0.10556185990571976,1,158.06451612903226,0
56,1.100,1.120,0.002019435,0.044938125,0.08740068227052689,1,138.67924528301887,0
57,1.120,1.140,0.02767329,0.16635291,0.1021566390991211,0,170.27027027027026,0
58,1.140,1.160,0.025108643,0.15845707,0.11123722791671753,0,168.3206106870229,0
59,1.160,1.180,0.021154862,0.1454471,0.11237230151891708,0,168.9655172413793,0
60,1.180,1.200,0.016098643,0.12688042,0.11804766952991486,0,169.6153846153846,0
61,1.200,1.220,0.014391245,0.11996352,0.10329171270132065,0,166.41509433962264,0
62,1.220,1.240,0.0065925093,0.08119427,0.10556185990571976,0,140.89456869009584,0
63,1.240,1.260,0.005010365,0.070783935,0.11350737512111664,0,141.80064308681673,0
64,1.260,1.280,0.017453883,0.13211314,0.10102156549692154,0,225.0,0
65,1.280,1.300,0.102817945,0.32065237,0.055618613958358765,0,1102.5,0
66,1.300,1.320,0.035048723,0.18721305,0.07604994624853134,0,1050.0,0
67,1.320,1.340,0.005060621,0.07113804,0.17480136454105377,0,144.11764705882354,0
68,1.340,1.360,0.0038983412,0.062436696,0.1691259890794754,0,140.44585987261146,0
69,1.360,1.380,0.0020401157,0.04516764,0.19750283658504486,1,138.67924528301887,0
70,1.380,1.400,0.0022708173,0.047653094,0.21679909527301788,1,156.93950177935943,0
71,1.400,1.420,0.0019161481,0.04377383,0.18842224776744843,1,140.44585987261146,0
72,1.420,1.440,0.002821072,0.053113766,0.17820657789707184,1,139.55696202531647,0
73,1.440,1.460,0.0026883604,0.051849402,0.17707151174545288,1,140.44585987261146,0
